"(9, 'MinMaxScaler', 'SelectKBest', 'BayesianRidge', 'Fitness', 126.66557113188584, 'Train', 0.79999851627419682, 'Valid', 0.67334539092529366, 'Test', 0.64354975863637609, 1.2776424226317054)"
"(10, 'MinMaxScaler', 'SelectKBest', 'BayesianRidge', 'Fitness', 1.1473561814170032, 'Train', 0.80089927437477249, 'Valid', 0.67197776654052688, 'Test', 0.6421347986772461, 1.2827141343612132)"
"(11, 'MinMaxScaler', 'SelectKBest', 'BayesianRidge', 'Fitness', 0.23536635650505247, 'Train', 0.80118765141911363, 'Valid', 0.6714225777253453, 'Test', 0.64159468448701973, 1.2846500926589512)"
"(12, 'MinMaxScaler', 'SelectKBest', 'BayesianRidge', 'Fitness', 0.087956408089173765, 'Train', 0.79971770255843355, 'Valid', 0.69708414296568089, 'Test', 0.62430505342571729, 1.3466221817535304)"
"(13, 'MinMaxScaler', 'SelectKBest', 'BayesianRidge', 'Fitness', 0.043859784373586043, 'Train', 0.79958152268096594, 'Valid', 0.69355055510368557, 'Test', 0.63384813620067071, 1.3124164330091261)"
"(42, 'MinMaxScaler', 'SelectKBest', 'RandomForestRegressor', 'Fitness', 8.4450797121905698e-10, 'Train', 0.9223307114735998, 'Valid', 0.61603645307020183, 'Test', 0.7015514667931424, 1.069744)"
