Normalizer,feature_selection,model, Descriptors, Fitness, R2_Train, R2Pred_Validation, R2Pred_Test
Normalizer,feature_selection,model, Descriptors, Fitness, R2_Train, R2Pred_Validation, R2Pred_Test
NoneType,VarianceThreshold,BayesianRidge,,,,,
NoneType,VarianceThreshold,BayesianRidge,,0.0116005468344,0.999995020895,-50.090861942,-39.257066652
StandardScaler,RFE,SVR,,,,,
StandardScaler,RFE,SVR,,0.0508421436214,0.891787597708,0.496542686993,0.870313631418
NumpyNormalizer,RFECV,RandomForestRegressor,,,,,
NumpyNormalizer,RFECV,RandomForestRegressor,,0.00794038851337,0.940870328272,0.619608943114,0.383924560939
ScikitNormalizer,VarianceThreshold,LinearRegression,,,,,
ScikitNormalizer,VarianceThreshold,LinearRegression,,3.05100816828e-06,1.0,0.171445402264,0.77273346799
MinMaxScaler,RFE,BayesianRidge,,,,,
MinMaxScaler,RFE,BayesianRidge,,0.159385418286,0.789195024533,0.219965072512,0.588686907204
Binarizer,RFECV,SVR,,,,,
Binarizer,RFECV,SVR,,0.0914579055569,0.175911190699,-1.85017264315,-0.751433582418
Imputer,VarianceThreshold,RandomForestRegressor,,,,,
Imputer,VarianceThreshold,RandomForestRegressor,,0.00174667230245,0.769689608003,-2.31605094216,-1.16432156458
KernelCenterer,RFE,LinearRegression,,,,,
KernelCenterer,RFE,LinearRegression,,4.07604101049,-0.297167693876,-1.60456261979,-0.382032492831
Normalizer,RFECV,BayesianRidge,,,,,
Normalizer,RFECV,BayesianRidge,,0.0284231507316,7.33435436351e-06,-0.787792259235,-0.108190349758
NoneType,VarianceThreshold,SVR,,,,,
NoneType,VarianceThreshold,SVR,,0.0731202414861,-0.221521490911,-2.1148340051,-0.751435746697
StandardScaler,RFE,RandomForestRegressor,,,,,
StandardScaler,RFE,RandomForestRegressor,,0.557878942488,0.731665190957,-1.19024815914,-0.481074254017
NumpyNormalizer,RFECV,LinearRegression,,,,,
NumpyNormalizer,RFECV,LinearRegression,,0.68236475044,0.92098440227,-1.64836184128,-1.24513544113
ScikitNormalizer,VarianceThreshold,BayesianRidge,,,,,
ScikitNormalizer,VarianceThreshold,BayesianRidge,,0.0497106524979,7.65644230232e-05,-0.787793212545,-0.108190719676
MinMaxScaler,RFE,SVR,,,,,
MinMaxScaler,RFE,SVR,,2.47069205723,0.0559094341157,-1.4094802794,-0.699378625706
Binarizer,RFECV,RandomForestRegressor,,,,,
Binarizer,RFECV,RandomForestRegressor,,0.81623740783,0.544526170161,-1.74530847474,-1.00410724946
Imputer,VarianceThreshold,LinearRegression,,,,,
Imputer,VarianceThreshold,LinearRegression,,1.3294575626e-05,1.0,-0.260192332289,-0.0796908083393
KernelCenterer,RFE,BayesianRidge,,,,,
KernelCenterer,RFE,BayesianRidge,,1.50747792863,0.283358265139,-1.00270985918,-0.18750128044
Normalizer,RFECV,SVR,,,,,
Normalizer,RFECV,SVR,,0.0384418723656,-0.221519888466,-2.11482674308,-0.751433198166
NoneType,VarianceThreshold,RandomForestRegressor,,,,,
NoneType,VarianceThreshold,RandomForestRegressor,,0.00220594864254,0.772627261174,-1.17638575165,-0.257430775454
StandardScaler,RFE,LinearRegression,,,,,
StandardScaler,RFE,LinearRegression,,1.43040613869,0.428252875197,-1.68335675656,-0.394363903366
NumpyNormalizer,RFECV,BayesianRidge,,,,,
NumpyNormalizer,RFECV,BayesianRidge,,0.858969906055,0.90660939234,-1.95352349409,-1.17052374983
ScikitNormalizer,VarianceThreshold,SVR,,,,,
ScikitNormalizer,VarianceThreshold,SVR,,0.0731175331852,-0.221500362652,-2.11493700043,-0.751492246009
MinMaxScaler,RFE,RandomForestRegressor,,,,,
MinMaxScaler,RFE,RandomForestRegressor,,1.50656839832,0.447031279237,-1.94986151028,-0.0467063448064
Binarizer,RFECV,LinearRegression,,,,,
Binarizer,RFECV,LinearRegression,,2.82044714342e+55,0.902056859611,-2.54521963742e+28,-1.14950446145
Imputer,VarianceThreshold,BayesianRidge,,,,,
Imputer,VarianceThreshold,BayesianRidge,,0.0472494099804,0.00260938555524,-0.787593672505,-0.108199428646
KernelCenterer,RFE,SVR,,,,,
KernelCenterer,RFE,SVR,,3.07011597541,0.00821211104198,-2.03736406631,-0.697644532497
Normalizer,RFECV,RandomForestRegressor,,,,,
Normalizer,RFECV,RandomForestRegressor,,0.00089882553697,0.665548272963,-2.08774920413,-0.348923266732
NoneType,VarianceThreshold,LinearRegression,,,,,
