Normalizer,feature_selection,model, Descriptors, Fitness, R2_Train, R2Pred_Validation, R2Pred_Test
Binarizer,RFECV,SVR,,,,,
Binarizer,RFE,BayesianRidge,,,,,
Binarizer,RFE,LinearRegression,,,,,
Binarizer,RFE,SVR,,,,,
Binarizer,RFECV,BayesianRidge,,,,,
Binarizer,RFECV,LinearRegression,,,,,
Binarizer,VarianceThreshold,BayesianRidge,,,,,
Binarizer,VarianceThreshold,LinearRegression,,,,,
Binarizer,VarianceThreshold,SVR,,,,,
Imputer,RFE,BayesianRidge,,,,,
Imputer,RFE,LinearRegression,,,,,
Imputer,RFE,SVR,,,,,
Imputer,RFECV,BayesianRidge,,,,,
Imputer,RFECV,LinearRegression,,,,,
Imputer,RFECV,SVR,,,,,
Imputer,VarianceThreshold,BayesianRidge,,,,,
Imputer,VarianceThreshold,LinearRegression,,,,,
Imputer,VarianceThreshold,SVR,,,,,
KernelCenterer,RFE,BayesianRidge,,,,,
KernelCenterer,RFE,SVR,,,,,
